module	trait	nObs	bicor	Z	t	p
skyblue	MElightgreen	43	-0.0181191332546788	-0.116031760274107	0.116038110697273	0.90818884252531
skyblue	MEturquoise	43	0.059936557056534	0.384241778358018	0.384472430152943	0.702615360111111
skyblue	MEpink	43	0.202235981073656	1.31304252541827	1.32226429662005	0.193409523741967
skyblue	MEsalmon	43	0.0276038847565466	0.176796017342823	0.176818481952642	0.860521553835793
skyblue	MEbrown	43	0.0131653266425443	0.0843040930359165	0.0843065286845577	0.933223036775573
skyblue	MEyellow	43	-0.0336671416293556	-0.215656395695141	0.215697169059869	0.830293298892755
skyblue	MEroyalblue	43	-0.179986481198193	-1.16516830328996	1.17160925259726	0.24811766812295
skyblue	MEgrey60	43	-0.249529451783798	-1.63222652533621	1.64996094949936	0.10659252060072
skyblue	MEred	43	-0.185689893383073	-1.20295114978094	1.21003999109666	0.233193957491231
skyblue	MEcyan	43	-0.187404630070778	-1.21432669254913	1.22161879005009	0.228829593874803
skyblue	MElightyellow	43	-0.0575912052951163	-0.369172154314398	0.369376715806202	0.713747890515959
skyblue	MEblue	43	-0.0140310431014664	-0.0898484086262125	0.0898513571208116	0.928842844663265
skyblue	MEgreen	43	0.03419133636954	0.219016748233643	0.219059457516405	0.827690612670381
skyblue	MElightcyan	43	-0.0429401705060218	-0.275120424103885	0.275205083170863	0.784540880949397
skyblue	MEdarkred	43	0.223163383152205	1.45339927608957	1.4659116124759	0.150300332661671
skyblue	MEgreenyellow	43	0.111352466261704	0.715972728294669	0.717465611475933	0.477154911607359
skyblue	MEgrey	43	0.0317829580295398	0.20357879618076	0.20361309541852	0.839663105887978
skyblue	group	43	0.0034116773029202	0.0218454783860127	0.0218455207649262	0.982677155583819
skyblue	age	43	0.106434509899006	0.684104488444105	0.685406695589909	0.496944577682675
skyblue	White_vs_nonwhite	43	-0.0551393043631757	-0.353422282033286	0.353601760696971	0.725449211663124
skyblue	apo	43	-0.00933504247387971	-0.0597751730919764	0.0597760413110301	0.952624428118422
skyblue	apo_hdp	14	-0.195189216844079	-0.684943985619242	0.689415777527786	0.503675210277643
skyblue	apo_gdm	14	0.253156873303765	0.896450585010055	0.906489820876334	0.382518273995362
skyblue	apo_other	14	-0.167475771365913	-0.585670311247071	0.588464448961247	0.567131941388718
skyblue	preterm	43	0.0300658413488675	0.192573357325039	0.192602389069981	0.848221242666488
skyblue	bmi	43	0.143492080711201	0.925182695978681	0.928405253865572	0.35863115015333
skyblue	gwg	39	-0.0114743721975141	-0.0697989446406323	0.0698004764208384	0.94472836239357
skyblue	egwg	39	0.0115846244813986	0.0704696722619794	0.0704712486266574	0.944198108220818
skyblue	ppwr	42	-0.0531594267121646	-0.336526974234638	0.336685795949248	0.738113879040119
skyblue	ppwr_e	42	-0.0988384795380414	-0.627157020942184	0.62818534772081	0.533453052882233
skyblue	low_income	43	0.0936706987481395	0.601548626348001	0.602433882106501	0.550202972649884
skyblue	low_access	43	-0.0798501632151278	-0.512381362726322	0.512928358424184	0.6107541753234
skyblue	SPL_SVM	43	0.129435017950008	0.833463937468135	0.83581949240706	0.408101156633168
skyblue	RPL_SVM	43	0.128085220684945	0.824675308297864	0.826957089795544	0.413048482741731
skyblue	SPL_EBM	43	-0.0395608491317424	-0.25344530625899	0.253511490054739	0.801139934326536
skyblue	RPL_EBM	43	-0.0112907927047347	-0.0722994208235523	0.0723009571097057	0.942713962378596
skyblue	F_HVM	43	0.311006124331005	2.05962181232961	2.09532226845961	0.0423608038883129
skyblue	RPL_HVM	43	0.311006124331005	2.05962181232961	2.09532226845961	0.0423608038883129
skyblue	epds_mth6	42	0.0844933444408803	0.535659981560453	0.536300618724665	0.594721004203373
skyblue	epds_3a_mth6	42	0.0400734768432056	0.253582720791003	0.253650669723574	0.801064715462739
skyblue	sleep_mth6	42	0.116405263575571	0.739564095875533	0.741250699910286	0.462871287697409
skyblue	reap_mth6	42	0.188529149988143	1.20679898802165	1.21413540740107	0.231815840209713
skyblue	KCAL_mth6	24	0.109419700735275	0.51528694961765	0.516324085292241	0.610779233207878
skyblue	HEI2015_TOTAL_SCORE_mth6	24	-0.0835723499649682	-0.392905505536766	0.393365171962173	0.697835997635285
skyblue	ppaq_total_mth6	42	0.0157661587002853	0.0997222061450376	0.0997263382352093	0.921059737181227
skyblue	PM2.5_7Days_mth6	21	-0.0383055434809586	-0.167051730823618	0.167092626743498	0.869062695775982
skyblue	PM2.5_30Days_mth6	20	-0.0808188634518717	-0.343634878014332	0.3440107244269	0.734824278838493
skyblue	PM2.5_90Days_mth6	20	-0.113837444202941	-0.485074015205352	0.486131524341046	0.632739417740051
skyblue	EH_7Days_mth6	36	0.135918974014137	0.797472254173452	0.799960668758192	0.429287652166568
skyblue	EH_30Days_mth6	36	0.228486501416524	1.35623286764294	1.36849447197839	0.180132698985845
skyblue	EH_90Days_mth6	36	0.152414196621906	0.895699066567621	0.899225767006455	0.374857148819239
skyblue	weight_mth6	42	0.106656941678132	0.67713318568438	0.678427560221969	0.501406949329945
skyblue	postpart_epds_bbmr	11	0.340236060693804	1.06307840820362	1.08546708647041	0.305932411427292
skyblue	infant_apgar1_bbmr	28	0.0822990532606014	0.420595783637856	0.421072892945265	0.677162368830922
skyblue	infant_apgar5_bbmr	28	-0.0561390305175705	-0.286555300510133	0.286706158848524	0.776609695431266
skyblue	infant_weight_bbmr	23	0.234797681990577	1.09643198370861	1.10692299936982	0.280846178946777
skyblue	breastfeeding	42	0.0222723733283935	0.140886156243509	0.140897808351347	0.888657855160791
skyblue	feeding_mth6	42	0.08982838834832	0.569660144809384	0.570430715403782	0.571576234003738
skyblue	ex_feeding_mth6	42	-0.08982838834832	-0.569660144809384	0.570430715403782	0.571576234003738
yellowgreen	MEmidnightblue	43	-0.0341697044530614	-0.218878074371151	0.218920702575971	0.827797981749626
yellowgreen	MEblack	43	0.0261192366398553	0.167282765025488	0.167301794785387	0.867955054090129
yellowgreen	MEmagenta	43	0.0795410625791907	0.510389501849606	0.510930141703391	0.612140369685286
yellowgreen	MEpurple	43	-0.0166756145096048	-0.106785930380337	0.106790880469707	0.915475720181089
yellowgreen	MEtan	43	0.129761874131254	0.835592590565293	0.837966250067065	0.406908284764281
yellowgreen	MElightgreen	43	-0.0461634390462402	-0.295800478145001	0.295905700459178	0.768795694846382
yellowgreen	MEturquoise	43	-0.0506487255232821	-0.324587826453646	0.324726859287862	0.747038920892394
